Main Dataset,Subsequence,Sequence Average TIoU
Falling_Object,v_box_GTgamma,0.904
Falling_Object,v_cell_GTgamma,0.73
Falling_Object,v_key_GTgamma,0.651
Falling_Object,v_marker_GTgamma,0.799
Falling_Object,v_pen_GTgamma,0.558
Falling_Object,v_rubber_GTgamma,0.614
TbD-3D,HighFPS_GT_depth2,0.86
TbD-3D,HighFPS_GT_depthb2,0.823
TbD-3D,HighFPS_GT_depthf1,0.833
TbD-3D,HighFPS_GT_depthf2,0.816
TbD-3D,HighFPS_GT_depthf3,0.816
TbD-3D,HighFPS_GT_out1,0.899
TbD-3D,HighFPS_GT_out2,0.909
TbD-3D,HighFPS_GT_outa1,0.923
TbD-3D,HighFPS_GT_outb1,0.83
TbD-3D,HighFPS_GT_outf1,0.895
TbD,VS_badminton_white_GX010058-8,0.01
TbD,VS_badminton_yellow_GX010060-8,0.265
TbD,fall_cube,0.902
TbD,hit_tennis,0.878
TbD,hit_tennis2,0.094
TbD,VS_pingpong_GX010051-8,0.756
TbD,VS_roll_golf-gc-12,0.858
TbD,VS_tennis_GX010073-8,0.807
TbD,throw_floor,0.003
TbD,throw_soft,0.008
TbD,throw_tennis,0.003
TbD,VS_volleyball_GX010068-12,0.872
FMOv2,atp_serves,0.135
FMOv2,blue,0.775
FMOv2,darts1,0.738
FMOv2,darts_window1,0.023
FMOv2,frisbee,0.49
FMOv2,hockey,0.527
FMOv2,ping_pong_paint,0.036
FMOv2,ping_pong_side,0.629
FMOv2,ping_pong_top,0.396
FMOv2,softball,0.009
FMOv2,squash,NAN
FMOv2,tennis1,NAN
FMOv2,tennis2,0.005
FMOv2,tennis_serve_back,0.312
FMOv2,tennis_serve_side,0.821
FMOv2,volleyball1,0.905
FMOv2,volleyball_passing,0.895
FMOv2,william_tell,0.783
